barcode,category,categoryCode,name,topBrand,brandCode,id_oid,cpg_ref,cpg_oid
511111115922,Baking,BAKING,test brand @1598633602279,null,TEST BRANDCODE @1598633602279,5f493682be37ce52f8314fce,Cogs,5f493682be37ce52f8314fcb
511111602552,null,null,Pizza Pizza Pizza,null,null,57ace91ae4b057c992a316ac,Cpgs,57ace90fe4b057c992a316ab
511111200246,Beer Wine Spirits,null,Revolver,null,REVOLVER,5a5d2431e4b06ba572cf24a1,Cogs,5332f709e4b03c9a25efd0f1
511111802280,Beer Wine Spirits,null,Keystone Light,0,KEYSTONE LIGHT,57e5810ce4b0ac389136a307,Cogs,5332f709e4b03c9a25efd0f1
511111604037,null,null,Our Family,null,null,5332f5f2e4b03c9a25efd0ab,Cpgs,5332f5f3e4b03c9a25efd0ac
511111806226,Snacks,null,Fruit Roll-Ups™,null,BETTY CROCKER FRUIT ROLL UPS,5db9f9cca60b87376833e36b,Cogs,5332f5f3e4b03c9a25efd0ae
511111118169,Candy & Sweets,CANDY_AND_SWEETS,test brand @1607639232356,0,TEST BRANDCODE @1607639232356,5fd2a0c0be37ce49eb72c0f4,Cogs,5332fa12e4b03c9a25efd1e7
511111304265,Condiments & Sauces,null,MOMOFUKU Sauce,0,MOMOFUKU,5aa1b41de4b086c8aad5e096,Cogs,559c2234e4b06aca36af13c6
511111500735,Frozen,null,POPSICLE,0,POPSICLE,592486bee410d61fcea3d136,Cogs,5332f5f6e4b03c9a25efd0b4
511111103936,Beverages,null,Mug Root Beer,0,MUG Root Beer,5332f603e4b03c9a25efd0be,Cpgs,5332f5fbe4b03c9a25efd0ba
